Αγαυη	Ἀγαύη
φᾶρος	φᾶρος
φατίζω	φάτιζω
φλογερὸς	φλογερός
φόνιος	φόνιος
φρικτὸς	φρικτός
φυτεύω	φυτεύω
χάρασσω	χαράσσω
χεῖλος	χεῖλος
χειμέριος	χειμέριος
χεύμα	χεῦμα
χεῦω	χεῦω
χηλῇ	χηλή
χθονῖος	χθόνιος
χορεῖα	χορεία
χορός	χορός
χρεὼ	χρεώ
χρῖω	χρίω
χρυσῆ	χρυσῆ
ψαμάθος	ψάμαθος
ψευδάλεος	ψευδαλέος
ὠκύπορος	ὠκύπορος
βιός	βιός
ὅς	ὅς
ποτέ	ποτέ
ποτὸς	ποτός
Ἀγαύη	Ἀγαύη
Ἀλκίνοος	Ἀλκίνοος
Ἀλφειὸς	Ἀλφειός
Ἀργολὶς	Ἀργολίς
Ἄργός	Ἄργος
Ἀτθίς	Ἀτθίς
Βακχιὰς	Βακχιάς
Βασσαρὶς	Βασσαρίς
Βερόη	Βερόη
Δηριαδῆς	Δηριάδης
Δολίος	Δολῖος
Δουλιχίον	Δουλίχιον
Δρύας	Δρυάς
Ἐνυὼ	Ἐνυώ
Ἑσπέριος	Ἑσπέριος
Ἠριδανὸς	Ἠριδανός
Ἰκαρῖος	Ἰκάριος
Ἰλισσὸς	Ἰλισσός
Ἰνδὸς	Ἰνδός
Ἰνδῷος	Ἰνδῷος
Ἰνώ	Ἰνώ
Καβείρω	Καβειρώ
